drug_name,drug_generic_name,mode_administration,description,Date of Approval,Company,Treatment for,drug_type,disease_type,,,
Anktiva ,nogapendekin alfa inbakicept-pmln,,Anktiva (nogapendekin alfa inbakicept-pmln) is a first-in-class interleukin-15 superagonist for use in combination with Bacillus Calmette-Guérin (BCG) for the treatment of BCG-unresponsive non-muscle-invasive bladder cancer carcinoma.,2024-04-22,Immunitybio,Bladder Cancer,Antineoplastics,Cancers,,,
Lumisight ,pegulicianine,Injection,Lumisight (pegulicianine) is an optical imaging agent for the detection of residual cancerous tissue during breast cancer surgery.,2024-04-17,Lumicell,Diagnosis and Investigation,Antineoplastics,Other,,,
Selarsdi,ustekinumab-aekn,Injection,Selarsdi (ustekinumab-aekn) is a human interleukin-12 and -23 antagonist biosimilar to Stelara used for the treatment of plaque psoriasis and psoriatic arthritis.,2024-04-16,Alvotech And Teva Pharmaceuticals,"Plaque Psoriasis, Psoriatic Arthritis",Immunological,Dermatological Conditions,,,
Zevtera,ceftobiprole medocaril,Injection,"Zevtera (ceftobiprole medocaril) is a cephalosporin antibiotic for the treatment of bacteremia, acute bacterial skin and skin structure infections and community-acquired bacterial pneumonia.",2024-04-03,Basilea Pharmaceutica,"Bacteremia, Skin and Structure Infection, Pneumonia",Antibiotics,Infectious Diseases,,,
Risvan,risperidone,Extended-Release Injectable Suspension,Risvan (risperidone) is an atypical antipsychotic indicated for the treatment of schizophrenia in adults.,2024-03-29,Laboratorios Farmacéuticos Rovi,Schizophrenia,Antipsychotics,Mental Health Disorders,,,
Voydeya,danicopan,Tablets,Voydeya (danicopan) is a complement factor D inhibitor used for the treatment of extravascular hemolysis in adults with paroxysmal nocturnal hemoglobinuria.,2024-03-29,Astrazeneca,Paroxysmal Nocturnal Hemoglobinuria,Immunological,Hematological Disorders,,,
Vafseo,vadadustat,Tablets,Vafseo (vadadustat) is a hypoxia-inducible factor prolyl hydroxylase (HIF PH) inhibitor indicated for the treatment of anemia due to chronic kidney disease (CKD) in adults who have been receiving dialysis for at least three months.,2024-03-27,Akebia Therapeutics,Anemia Due to Chronic Kidney Disease,Cardiovascular,Hematological Disorders,,,
Winrevair,sotatercept,Injection,Winrevair (sotatercept) is an activin signaling inhibitor used for the treatment of adults with pulmonary arterial hypertension.,2024-03-26,Merck,Pulmonary Arterial Hypertension,Cardiovascular,Cardiovascular Diseases,,,
Duvyzat,givinostat,Oral Suspension,Duvyzat (givinostat) is a histone deacetylase inhibitor indicated for the treatment of Duchenne muscular dystrophy in patients 6 years of age and older.,2024-03-21,Italfarmaco Group,Duchenne Muscular Dystrophy,Neurological,Musculoskeletal Disorders,,,
Opsynvi,macitentan and tadalafil,Tablets,Opsynvi (macitentan and tadalafil) is an endothelin receptor antagonist (ERA) and phosphodiesterase 5 (PDE5) inhibitor combination for the treatment of pulmonary arterial hypertension.,2024-03-22,Actelion Pharmaceuticals,Pulmonary Arterial Hypertension,Cardiovascular,Cardiovascular Diseases,,,
Tryvio,aprocitentan,Tablets,Tryvio (aprocitentan) is an endothelin receptor antagonist (ERA) for the combination treatment of hypertension that is not adequately controlled with other drugs.,2024-03-19,Idorsia,High Blood Pressure,Cardiovascular,Cardiovascular Diseases,,,
Lenmeldy,atidarsagene autotemcel,Suspension for Intravenous Infusion,Lenmeldy (atidarsagene autotemcel) is an autologous hematopoietic stem cell (HSC) gene therapy for the treatment of children with metachromatic leukodystrophy (MLD).,2024-03-18,Orchard Therapeutics,Metachromatic Leukodystrophy,Antineoplastics,Genetic Disorders,,,
Rezdiffra,resmetirom,Tablets,Rezdiffra (resmetirom) is a thyroid hormone receptor-beta (THR-beta) agonist indicated in conjunction with diet and exercise for the treatment of adults with noncirrhotic nonalcoholic steatohepatitis (NASH) with moderate to advanced liver fibrosis (consistent with stages F2 to F3 fibrosis).,2024-03-14,Madrigal Pharmaceuticals,Nonalcoholic Steatohepatitis,Hormonal,Hepatic Disorders,,,
Tevimbra,tislelizumab-jsgr,Injection,Tevimbra (tislelizumab-jsgr) is a humanized immunoglobulin G4 (IgG4) anti-programmed cell death protein 1 (PD-1) monoclonal antibody indicated for the treatment of adult patients with unresectable or metastatic esophageal squamous cell carcinoma after prior systemic chemotherapy that did not include a PD-(L)1 inhibitor .,2024-03-13,Beigene,Esophageal Carcinoma,Antineoplastics,Cancers,,,
Tyenne,tocilizumab-aazg,Injection,"Tyenne (tocilizumab-aazg) is an interleukin-6 (IL-6) receptor antagonist biosimilar to Actemra used for treatment of rheumatoid arthritis, giant cell arteritis, polyarticular juvenile idiopathic arthritis, and systemic juvenile idiopathic arthritis.",2024-03-05,Fresenius Kabi,"Rheumatoid Arthritis, Giant Cell Arteritis, Polyarticular Juvenile Idiopathic Arthritis, Juvenile Idiopathic Arthritis",Immunological,Musculoskeletal Disorders,,,
Wyost,denosumab-bbdz,Injection,"Wyost (denosumab-bbdz) is a RANK ligand (RANKL) inhibitor interchangeable biosimilar to Xgeva (denosumab) indicated for the prevention of skeletal-related events in patients with multiple myeloma or bone metastases from solid tumors, treatment of giant cell tumor of bone, and treatment of hypercalcemia of malignancy.",2024-03-05,Sandoz,"Osteolytic Bone Lesions of Multiple Myeloma, Osteolytic Bone Metastases of Solid Tumors, Giant Cell Tumor of Bone, Hypercalcemia of Malignancy",Antineoplastics,Musculoskeletal Disorders,,,
Jubbonti,denosumab-bbdz,Injection,Jubbonti (denosumab-bbdz) is a RANK ligand (RANKL) inhibitor interchangeable biosimilar to Prolia (denosumab) used in the treatment of osteoporosis.,2024-03-05,Sandoz,Osteoporosis,Bone Health,Musculoskeletal Disorders,,,
Letybo,letibotulinumtoxinA-wlbg,Powder for Injection,Letybo (letibotulinumtoxinA-wlbg) is an acetylcholine release inhibitor and a neuromuscular blocking agent indicated for the temporary improvement in the appearance of moderate to severe glabellar lines associated with corrugator and/or procerus muscle activity in adult patients.,2024-02-29,Hugel,Glabellar Lines,Dermatological,Dermatological Conditions,,,
Exblifep,cefepime and enmetazobactam,Injection,Exblifep (cefepime and enmetazobactam) is a fourth generation cephalosporin and beta lactamase inhibitor combination for the treatment of complicated urinary tract infections (cUTIs).,2024-02-22,Allecra Therapeutics,Urinary Tract Infection,Antibiotics,Infectious Diseases,,,
Simlandi,adalimumab-ryvk,Injection,"Simlandi (adalimumab-ryvk) is a tumor necrosis factor (TNF) blocker interchangeable biosimilar to Humira, approved for the treatment of rheumatoid arthritis, juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, plaque psoriasis, hidradenitis suppurativa, and uveitis.",2024-02-23,Alvotech And Teva Pharmaceutical Industries,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis",Immunological,Autoimmune Diseases,,,
Amtagvi,lifileucel,Suspension for Intravenous Infusion,Amtagvi (lifileucel) is a tumor-derived autologous T cell immunotherapy used for the treatment of adult patients with unresectable or metastatic melanoma.,2024-02-16,Iovance Biotherapeutics,Melanoma,Antineoplastics,Cancers,,,
Aurlumyn,iloprost,Injection,Aurlumyn (iloprost) is a prostacyclin mimetic indicated for the treatment of severe frostbite in adults to reduce the risk of digit amputations.,2024-02-13,Eicos Sciences,Frostbite,Cardiovascular,Dermatological Conditions,,,
Eohilia,budesonide,Oral Suspension,Eohilia (budesonide oral suspension) is a mucoadherent formulation of the approved corticosteroid budesonide used for the treatment of eosinophilic esophagitis.,2024-02-09,Takeda Pharmaceutical Company,Eosinophilic Esophagitis,Gastrointestinal,Gastrointestinal Diseases,,,
Zelsuvmi,berdazimer sodium,Topical Gel,Zelsuvmi (berdazimer sodium) is a nitric oxide-releasing agent indicated for the topical treatment of molluscum contagiosum (MC) in adults and pediatric patients 1 year of age and older.,2024-01-05,Ligand Pharmaceuticals,Molluscum Contagiosum,Dermatological,Dermatological Conditions,,,
Wainua,eplontersen,Injection,Wainua (eplontersen) is a transthyretin-directed antisense oligonucleotide indicated for the treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults.,2023-12-21,Ionis Pharmaceuticals And Astrazeneca,Hereditary Transthyretin-Mediated Amyloid Polyneuropathy (ATTRv-PN),Neurological,Genetic Disorders,,,
Filsuvez,birch triterpenes,Topical Gel,Filsuvez (birch triterpenes) is a topical birch bark extract indicated for the treatment of wounds associated with dystrophic epidermolysis bullosa and junctional epidermolysis bullosa in adult and pediatric patients 6 months of age and older.,2023-12-19,Chiesi  Rare Diseases,Epidermolysis Bullosa,Dermatological,Dermatological Conditions,,,
Alyglo,"immune globulin intravenous, human-stwk",Liquid for Intravenous Injection,"Alyglo (immune globulin intravenous, human-stwk) is a 10% immune globulin liquid for intravenous injection indicated for the treatment of primary humoral immunodeficiency (PI) in adults.",2023-12-15,Gc Biopharma,Primary Immunodeficiency Syndrome,Immunological,Hematological Disorders,,,
Iwilfin,eflornithine,Tablets,Iwilfin (eflornithine) is an ornithine decarboxylase inhibitor used to reduce the risk of relapse in adult and pediatric patients with high-risk neuroblastoma (HRNB).,2023-12-13,Worldmeds,Neuroblastoma,Antineoplastics,Cancers,,,
iDose TR,travoprost,Intracameral Implant,iDose TR (travoprost intracameral implant) is a long-duration prostaglandin analog indicated for the reduction of intraocular pressure (IOP) in patients with open-angle glaucoma (OAG) or ocular hypertension (OHT).,2023-12-13,Glaukos,"Glaucoma, Open Angle, Glaucoma/Intraocular Hypertension",Ophthalmological,Ophthalmological Disorders,,,
Lyfgenia,lovotibeglogene autotemcel,Suspension for Intravenous Infusion,Lyfgenia (lovotibeglogene autotemcel) is an autologous hematopoietic stem cell-based gene therapy indicated for the treatment of patients 12 years of age or older with sickle cell disease and a history of vaso-occlusive events.,2023-12-08,Bluebird Bio,Sickle Cell Disease,Antineoplastics,Hematological Disorders,,,
Casgevy,exagamglogene autotemcel,Suspension for Intravenous Infusion,Casgevy (exagamglogene autotemcel) is a CRISPR/Cas9 genome-edited cell therapy for the treatment of sickle cell disease and transfusion-dependent beta-thalassemia.,2023-12-08,Vertex Pharmaceuticals  And Crispr Therapeutics,"Beta Thalassemia, Sickle Cell Disease",Immunological,Hematological Disorders,,,
